Headline,Domain,Keywords,Sentiment
"UPSSSC प्रवर्तन कांस्टेबल भर्ती का रिजल्ट घोषित, मुख्य परीक्षा के लिए 28,368 उम्मीदवार सफल",jobs,"['प्रवर्तन', 'कांस्टेबल', 'भर्ती', 'का']",Neutral
"UPSSSC प्रवर्तन कांस्टेबल भर्ती का रिजल्ट घोषित, मुख्य परीक्षा के लिए 28,368 उम्मीदवार सफल",jobs,"['प्रवर्तन', 'कांस्टेबल', 'भर्ती', 'का']",Neutral
"RSMSSB जूनियर अकाउंडेंट, TRA पदों के लिए एडमिट कार्ड जारी, परीक्षा का आयोजन 11 फरवरी को",jobs,"['जूनियर', 'अकाउंडेंट']",Neutral
"BPSC TRE भर्ती के तीसरे चरण का ऐलान, मार्च में होगी परीक्षा, अगस्त में आएगा चौथा चरण",jobs,"['चरण', 'में']",Neutral
"MP राज्य सेवा मुख्य परीक्षा 2023 की तारीख को बढ़ाने को लेकर सड़कों पर उतरें कैंडिडेट्स, कड़ाके की ठंड में आसमान के नीचे बिताई रात",jobs,"['की', 'को', 'राज्य', 'सेवा']",Neutral
"DU Recruitment 2024: डीयू ने निकाली वैकेंसी, लैबोरेटरी असिस्टेंट और लैबोरेटरी अटेंडेंट के कई पद",jobs,['लैबोरेटरी'],Neutral
"अर्जुन की छाल का पानी इस समय बनाकर पीएं, दूर हो जाएगा हाई ब्लड प्रेशर और डायबिटीज, फिर कभी नहीं होंगे बीमार",lifestyle,"['अर्जुन', 'की', 'छाल', 'का']",Neutral
"भारत की ये 5 जगहें होली सेलिब्रेशन के लिए हैं फेमस, इस बार यहां जरूर मनाएं रंगों का त्योहार",lifestyle,"['भारत', 'की', 'ये', 'जगहें']",Neutral
"सफेद कपड़ों पर पड़ गए हैं चाय या कॉफी के जिद्दी दाग तो घबराएं नहीं, ये आसान टिप्स करेंगे आपकी मदद",lifestyle,"['सफेद', 'कपड़ों', 'पर', 'पड़', 'गए']",Neutral
"इस दाल को बस एक मुट्ठी रोज खा लेंगे तो वजन होगा कम, इम्यूनिटी होगी बूस्ट और भी हैं कई फायदे",lifestyle,"['इस', 'दाल', 'को', 'बस', 'एक']",Neutral
"बालों पर इस तरह लगाना शुरू कर दिया विटामिन ई, तो इन 3 हेयर प्रोब्लम्स से मिल जाएगी निजात",lifestyle,"['बालों', 'पर', 'इस', 'तरह', 'लगाना']",Neutral
"बेटी की शादी से पहले उसे सिखाने में बिल्कुल ना झिझकें ये 5 चीजें, फिर जीवन रहेगा खुशहाल और मिलेगी खूब तरक्की",lifestyle,"['बेटी', 'की', 'शादी', 'से', 'पहले']",Neutral
No smoking day 2024 : आयुर्वेद एक्सपर्ट से जानिए स्मोकिंग छुड़ाने के आसान घरेलू नुस्खे,lifestyle,['आयुर्वेद'],Neutral
"रसोई में रखी इन चीजों से कर सकती हैं अपने फेस को ब्लीच, पार्लर में पैसे खर्च करने की नहीं पड़ेगी जरूरत",lifestyle,"['में', 'रसोई', 'रखी', 'इन', 'चीजों']",Neutral
"होली पर चलेंगे इस बार बेलन-हथौड़ा, बाजार में आईं यह यूनिक पिचकारी, दाम जान हो जाएंगे हैरान",lifestyle,"['होली', 'पर', 'चलेंगे', 'इस']",Neutral
"सफेद बालों के लिए कमाल का साबित होता है यह तेल, जड़ से सिरों तक बाल होने लगते हैं काले",lifestyle,"['सफेद', 'बालों', 'के', 'लिए', 'कमाल']",Neutral
शरीर में नजर आएं ये खास लक्षण तो समझ जाइए आपको हो रहे हैं हेल्दी पीरियड्स,lifestyle,"['शरीर', 'में', 'नजर', 'आएं', 'ये']",Neutral
काली चाय पीने के इन फायदों के बारे में जानेंगे तो मिल्क टी से तोड़ देंगे नाता,lifestyle,"['के', 'काली', 'चाय', 'पीने', 'इन']",Neutral
"धूप की वजह से पैरों पर जम गया है मैल और गंदगी, तो इस तरह दूर कर लें यह टैनिंग, ये नुस्खे चमका देंगे पैर",lifestyle,"['धूप', 'की', 'वजह', 'से']",Neutral
"सुबह नहाते हैं भारतीय, पर कुछ देशों में लोग करते हैं बिल्कुल इसका उल्टा, जानें नहाने को लेकर क्या कहता है साइंस",lifestyle,"['हैं', 'सुबह', 'नहाते', 'भारतीय']",Neutral
"बाजार में 5 रुपये में मिल जाएंगे ये बीज, रोज चबाइए और घटाइए अपना मोटापा",lifestyle,"['में', 'बाजार', 'रुपये', 'मिल']",Neutral
"क्या आपकी बच्चेदानी में पड़ गई है गांठ तो करिए ये योगासन, गल जाएगी सिस्ट",lifestyle,"['क्या', 'आपकी', 'बच्चेदानी', 'में', 'पड़']",Neutral
"किसने कहा बिना डाइट के नहीं कम हो सकता वजन, इन 4 तरीकों को आज से अपना लीजिए, महीनेभर में टूट जाएगा फैट",lifestyle,"['किसने', 'कहा', 'बिना', 'डाइट']",Neutral
दूध ही नहीं इन देसी चीजों से कर सकते हैं शरीर में कैल्शियम की कमी पूरी,lifestyle,"['दूध', 'ही', 'नहीं', 'इन', 'देसी']",Neutral
"Holi 2024: होली के रंग त्वचा को ना कर दें खराब इसलिए जरूर लगाएं चेहरे पर ये चीजें, गुलाल से नहीं बिगड़ेगी स्किन",lifestyle,"['होली', 'के']",Neutral
"ये योगासन आपके चेहरे को करेंगे टाइट, ब्लड सर्कुलेशन होगा तेज",lifestyle,"['ये', 'योगासन', 'आपके', 'चेहरे', 'को']",Neutral
थायराइड से जल्द आराम पाने के लिए दवा के साथ करें इन फूडस का सेवन,lifestyle,"['के', 'थायराइड', 'से', 'जल्द', 'आराम']",Neutral
"Pedicure at home : हाथ पैर की टैनिंग ऐसे करें दूर, चमक जाएंगे लेग्स",lifestyle,"['हाथ', 'पैर']",Neutral
"हेयर कलर कराने के बाद बाल का ऐसे रखें ख्याल, नहीं होंगे बाल खराब, नैचुरल शाइन रहेगी बनी",lifestyle,"['बाल', 'हेयर', 'कलर', 'कराने']",Neutral
"चाय में दूध नहीं डालना चाहिए, इससे होते हैं सेहत के कई नुकसान",lifestyle,"['चाय', 'में', 'दूध', 'नहीं', 'डालना']",Neutral
"दिल्ली का सबसे अमीर गांव है ये, यहां पर मिलेंगे शहर वाले सारे एश-ओ-आराम",lifestyle,"['दिल्ली', 'का', 'सबसे', 'अमीर', 'गांव']",Neutral
"नींबू का छिलका घर के इन कामों में आता है बेहद काम, जानिए इसका इस्तेमाल",lifestyle,"['नींबू', 'का', 'छिलका', 'घर', 'के']",Neutral
"क्या आप भी खूब चबाते हैं बर्फ और करते हैं शराब का सेवन, दांत की हेल्थ के लिए है खतरा, यहां जानिए कैसे",lifestyle,"['हैं', 'क्या', 'आप', 'भी']",Neutral
"गंदे पीले दांत चमकाने के लिए ये 1 चीज मिलाकर कर लीजिए ब्रश, फिर खुलकर हंस सकेंगे आप",lifestyle,"['गंदे', 'पीले', 'दांत', 'चमकाने', 'के']",Neutral
नाभि में किस तेल को डालने पर चेहरे पर दिखता है असर? आप भी जान लीजिए दादी-नानी का यह नुस्खा,lifestyle,"['पर', 'नाभि', 'में', 'किस', 'तेल']",Neutral
"हफ्तेभर में पेट को अंदर कर देती है यह ड्रिंक, पीने पर तेजी से पिघलता है बैली फैट",lifestyle,"['है', 'हफ्तेभर', 'में', 'पेट', 'को']",Neutral
"Weight Loss: तुलसी या करी-पत्ता, वजन कम करने के लिए जानिए क्या है ज्यादा फायदेमंद",lifestyle,"['तुलसी', 'या']",Neutral
"हनीमून पर थाईलैंड जाने का प्लान कर रहे हैं तो इन बातों का रखें खास ख्याल, इन टिप्स से मिलेगी मदद",lifestyle,"['का', 'इन', 'हनीमून', 'पर', 'थाईलैंड']",Neutral
"मार्च में मिलता है दिमाग तेज करने वाला ये खास फल,  जानिए इस फ्रूट से सेहत को होते हैं क्या-क्या फायदे",lifestyle,"['मार्च', 'में', 'मिलता', 'है', 'दिमाग']",Neutral
बाल कलर करने के बाद शैंपू लगाना सही है या गलत? आप भी हैं कंफ्यूज तो जान लीजिए सही तरीका,lifestyle,"['सही', 'बाल', 'कलर', 'करने', 'के']",Neutral
"आपका बाल भी बांका नहीं कर पाएंगे हार्ट अटैक या स्ट्रोक, बस डाइट में शामिल कर लें ये चीजें",lifestyle,"['कर', 'आपका', 'बाल', 'भी', 'बांका']",Neutral
"बेटी को शादी से पहले माता-पिता को जरूर सिखानी चाहिए ये 4 बातें, लाडली जीवनभर रहेगी सुखी",lifestyle,"['को', 'बेटी', 'शादी', 'से', 'पहले']",Neutral
"बालों के लिए इन 2 चीजों से मिलाकर बना लीजिए प्रोटीन हेयर मास्क, लंबे और घने होने लगेंगे बाल",lifestyle,"['बालों', 'के', 'लिए', 'इन']",Neutral
"अभी से घर में रखी इस चीज को करिए फेस पर अप्लाई, सन बर्न से स्किन रहेगी बची",lifestyle,"['से', 'अभी', 'घर', 'में', 'रखी']",Neutral
"बाल की रूसी के कारण सफेद रंग के पैचेज हो रहे हैं माथे और गर्दन पर, तो इन घरेलू नुस्‍खों से करिए ठीक",lifestyle,"['के', 'बाल', 'की', 'रूसी', 'कारण']",Neutral
नींबू के छिलकों को उबालकर इस तरह करेंगी इस्तेमाल तो पार्लर का भी बच जाएगा खर्चा,lifestyle,"['नींबू', 'के', 'छिलकों', 'को', 'उबालकर']",Neutral
"इन 3 गलतियों के कारण समय से पहले सफेद होने लगते हैं बाल, जान लीजिए इस भूल को सुधारने का तरीका",lifestyle,"['इन', 'गलतियों', 'के', 'कारण']",Neutral
झाइयां और टैनिंग ने चेहरे को कर दिया है डैमेज तो दही में ये चीजें मिलाकर करिए फेशियल,lifestyle,"['झाइयां', 'और', 'टैनिंग', 'ने', 'चेहरे']",Neutral
"फूलों सी खिल जाएगी त्वचा इन 4 जूस को पीकर, चेहरे पर ब्लश लगाने की भी नहीं पड़ेगी जरूरत",lifestyle,"['फूलों', 'सी', 'खिल', 'जाएगी', 'त्वचा']",Neutral
"घर पर ही चाहते हैं निखर जाए स्किन तो आज ही बनाएं ये क्रीम, कुछ ही मिनटों में ही बनकर हो जाएगी तैयार",lifestyle,"['ही', 'घर', 'पर', 'चाहते', 'हैं']",Neutral
"घर पर तैयार ये मल्टीग्रेन आटा वेट कंट्रोल करने में करेगा मदद, डाइटीशियन से जानिए इसे तैयार करने का तरीका",lifestyle,"['तैयार', 'करने', 'घर', 'पर', 'ये']",Neutral
"गंजेपन का होने लगे हैं शिकार तो इन 4 पोषक तत्वों को आज से ही बना लीजिए डाइट का हिस्सा, बालों का झड़ना होने लगेगा कम",lifestyle,"['का', 'होने', 'गंजेपन', 'लगे', 'हैं']",Neutral
"Weight Loss Foods: 5 सफेद चीजें जो मक्खन की तरह पिघला देंगी आपके शरीर की चर्बी, कुछ ही दिनों में दिखने लगेगा असर",lifestyle,['की'],Neutral
"बिना मोबाइल या टीवी के बच्चा नहीं खाता है खाना, तो इन 2 आसान ट्रिक्स से छुड़ाएं बच्चे की यह बुरी आदत",lifestyle,"['बिना', 'मोबाइल', 'या', 'टीवी', 'के']",Neutral
"बाजार के केमिकल वाले सिंदूर से झड़ जाएंगे बाल, घर पर बनाएं हर्बल सिंदूर, वीडियो में देखें कैसे तैयार करें",lifestyle,"['सिंदूर', 'बाजार', 'के', 'केमिकल']",Neutral
विदेश घूमने के शौकीन हैं तो जान लीजिए कौन से हैं वो 5 देश जहां बिना फ्लाइट के जाना है संभव,lifestyle,"['के', 'हैं', 'विदेश', 'घूमने', 'शौकीन']",Neutral
"पहाड़ियों की पहचान है यह पिस्यो-नून, हर सब्जी का बढ़ा देता है स्वाद, आप भी खा सकते हैं घर पर बनाकर",lifestyle,"['है', 'पहाड़ियों', 'की', 'पहचान']",Neutral
"गर्मी में रहेगा चेहरे पर सबसे ज्यादा ग्लो, बस इस फेस पैक को घर पर बनाकर 2 बार लगाएं एक हफ्ते में",lifestyle,"['में', 'पर', 'गर्मी', 'रहेगा', 'चेहरे']",Neutral
"सफेद बाल काले करने के लिए घर पर बनाएं सरसों के तेल और हल्दी से डाई, फिर नेचुरल काले हो जाएंगे सारे हेयर",lifestyle,"['काले', 'के', 'सफेद', 'बाल', 'करने']",Neutral
"बच्चों में डालें ये आदतें, पढ़ाई से दिल चुराने की जगह खुद ही रोज नियम से करने लगेंगे स्टडी",lifestyle,"['से', 'बच्चों', 'में', 'डालें', 'ये']",Neutral
"चीन के लोगों का ये खाना जानकर चौंक जाएंगे आप, उनकी थाली के ये हैं फेवरेट फूड",lifestyle,"['के', 'ये', 'चीन', 'लोगों', 'का']",Neutral
"Boiled Water Benefits : क्यों उबालकर पीना चाहिए पानी, जानें क्या कहती है स्टडी और ये हैं इसके फायदे",lifestyle,['क्यों'],Neutral
वूमेन हेल्‍थ के लिए इन 5 सुपरफूड्स को खरीदें और 20% तक बचाएं,lifestyle,"['वूमेन', 'हेल्', 'थ', 'के', 'लिए', 'इन']",Neutral
"भारत की ये जगहें कपल्स की हैं फेवरेट, सबसे ज्यादा यहां पर हैं घूमते",lifestyle,"['की', 'हैं', 'भारत', 'ये', 'जगहें']",Neutral
"Women's Day 2024 : महिलाएं घर की जिम्मेदारी संभालने वाली होम मेकर्स ही नहीं, बल्कि उद्यमी भी बन रही हैं",lifestyle,[],Neutral
Relationship advice : लव मैरिज करने से पहले जान लीजिए यह जरूरी बात,lifestyle,"['लव', 'मैरिज']",Neutral
"इन 4 लोगों को कभी नहीं पीना चाहिए गन्ने का जूस, पड़ सकते हैं गंभीर बीमार",lifestyle,"['इन', 'लोगों', 'को', 'कभी']",Neutral
"बालों को घर पर ऐसे करें केरेटिन, पार्लर जाने की नहीं पड़ेगी जरूरत",lifestyle,"['बालों', 'को', 'घर', 'पर', 'ऐसे']",Neutral
International Women's Day 2024: वुमन्स डे पर अपनी साथी महिलाओं को भेजें ये मैसेज और कहें- हमें तुम पर गर्व है,lifestyle,['पर'],Neutral
"लहसुन ऐसे खाने से कोलेस्ट्रोल समेत 7 बीमारियों में मिलता है आराम, रामबाण है यह औषधि",lifestyle,"['है', 'लहसुन', 'ऐसे', 'खाने', 'से']",Neutral
"विमेंस डे के लिए इन टिप्स की मदद से तैयार करें स्पीच, सुनने के बाद बज उठेंगी तालियां",lifestyle,"['के', 'विमेंस', 'डे', 'लिए', 'इन']",Neutral
"Women's Day स्पीच में इन महिलाओं का जरूर दीजिए उदाहरण, वूमेन इंप्वॉयरमेंट में है अहम योगदान",lifestyle,"['में', 'स्पीच']",Neutral
"Women's Day 2024: महिलाओं के लिए बेहद अच्छे साबित होते हैं ये 4 योगासन, रोजाना करने पर शरीर रहता है स्वस्थ",lifestyle,[],Neutral
"Women's Day 2024: अपनी जिंदगी की सभी खास महिलाओं को दें महिला दिवस पर ये खास गिफ्ट्स, हो जाएंगी खुश",lifestyle,['खास'],Neutral
"Women's day 2024 : भारत की ये जगहें हैं सबसे सुरक्षित, यहां महिलाएं कर सकती हैं सोलो ट्रैवलिंग",lifestyle,['हैं'],Neutral
"Women's Day 2024: इस साल अंतरराष्ट्रीय महिला दिवस की यह है कैंपेन थीम, जानिए इस Theme का खास महत्व",lifestyle,['इस'],Neutral
"वूमंस डे को इस तरह बनाइए यादगार, हेल्थ प्लान अपने पार्टनर को दें तोहफा, हमेशा वह रहेंगी एकदम फिट",lifestyle,"['को', 'वूमंस', 'डे', 'इस']",Neutral
"वूमंस डे पर मिल रही घूमने की स्कीम को लेने से पहले यह जान लें, नहीं तो फंस जाएंगी आप",lifestyle,"['वूमंस', 'डे', 'पर', 'मिल', 'रही']",Neutral
"नीम को इन 6 तरीकों से लगा लिया बालों पर, तो बालों की सभी दिक्कतें हो जाएंगी दूर, बढ़ने लगेंगे आपके हेयर",lifestyle,"['बालों', 'नीम', 'को', 'इन']",Neutral
डार्क सर्कल के कारण : इस विटामिन की कमी से पड़ जाते हैं आंखों के नीचे काले घेरे,lifestyle,"['के', 'डार्क', 'सर्कल', 'कारण']",Neutral
बसंत ऋतु का लेना है असली मजा तो दिल्ली की इन जगहों पर बना लीजिए घूमने का प्लान,lifestyle,"['का', 'बसंत', 'ऋतु', 'लेना', 'है']",Neutral
"Parenting Tips: क्या है प्लास्टिक रैप पेरेंटिंग, जानिए बच्चों पर पड़ता है इसका क्या असर",lifestyle,"['क्या', 'है']",Neutral
"Bathroom Cleaning Tips: एसिड से नहीं इस चीज से चमकेगा बाथरूम, पीलेपन का नहीं रहेगा नामोनिशान",lifestyle,"['से', 'नहीं']",Neutral
"तेल में नहीं पानी में तलकर बनाएं पूड़ियां, नोट कर लें भारती सिंह की ऑयल फ्री पूड़ी की रेसिपी, टेस्टी भी हेल्दी भी",lifestyle,"['में', 'की', 'भी', 'तेल']",Neutral
"इस मूलांक के लोगों को कभी नहीं होती है पैसों की कमी, संघर्ष के बाद भी मिलती है सफलता",lifestyle,"['के', 'है', 'इस', 'मूलांक', 'लोगों']",Neutral
"इस फल का फूल ब्लड शुगर को करता है कंट्रोल, डायबिटीज का नामो निशां मिट सकता है",lifestyle,"['का', 'है', 'इस', 'फल', 'फूल']",Neutral
"माता-पिता की इन गलतियों के कारण बच्चे का आत्मविश्वास हो जाता है कम, नहीं करने चाहिए ये काम",lifestyle,"['माता', 'पिता', 'की', 'इन', 'गलतियों', 'के']",Neutral
"अपने कम्युनिकेशन स्किल को ऐसे बनाएं असरदार, इन रूल्स को फॉलो कर पाएं शानदार रिजल्ट",lifestyle,"['को', 'अपने', 'कम्युनिकेशन', 'स्किल', 'ऐसे']",Neutral
"मोटापे से परेशान लोग रोज पिएं इस मसाले की चाय, मोम की तरह पिघलेगी चर्बी",lifestyle,"['की', 'मोटापे', 'से', 'परेशान', 'लोग']",Neutral
"खीरे के रस में मिलाकर लगा लीजिए यह एक चीज, त्वचा के दाग-धब्बे होंगे गायब और निखर जाएगा चेहरा",lifestyle,"['के', 'खीरे', 'रस', 'में', 'मिलाकर']",Neutral
"माता-पिता अपने बच्चे की परवरिश में ना करें ये 5 गलतियां, सुधरने की जगह बिगड़ैल बन जाएगा बच्चा",lifestyle,"['की', 'माता', 'पिता', 'अपने', 'बच्चे', 'परवरिश']",Neutral
"कटहल के बीज में बादाम से भी ज्यादा होते हैं पोषक तत्व, इन हेल्थ इश्यूज में मिलती है राहत",lifestyle,"['में', 'कटहल', 'के', 'बीज', 'बादाम']",Neutral
"Holi 2024: होली के मौके पर इन 5 तरीकों से घर पर बना सकते हैं गुलाल, लाल-पीला और नीला रंग तैयार करें इस तरह",lifestyle,"['पर', 'होली']",Neutral
खाली पेट इस ड्राई फ्रूट का पानी पीने से एसिडिटी से मिलेगा छुटकारा और आयरन की कमी होती है पूरी,lifestyle,"['से', 'खाली', 'पेट', 'इस', 'ड्राई']",Neutral
"UPSC टीचर विकास दिव्यकीर्ति की माता-पिता को है सलाह, IAS बनने से ज्यादा जरूरी है जीवन में यह बनना",lifestyle,"['है', 'टीचर', 'विकास', 'दिव्यकीर्ति']",Neutral
"Success mantra tips : जीवन में होना है सफल तो सुबह उठते ही करें ये काम, मिलेगी ग्रोथ",lifestyle,['जीवन'],Positive
"आंखें होने लगी हैं कमजोर तो Baba Ramdev के उपाय देख लीजिए आजमाकर, हट जाएगा नजर का चश्मा",lifestyle,"['आंखें', 'होने', 'लगी', 'हैं', 'कमजोर']",Neutral
क्या आप भी बाजार से लेकर आ जाते हैं नकली चायपत्ती तो अगली बार से ऐसे करें पहचान,lifestyle,"['से', 'क्या', 'आप', 'भी', 'बाजार']",Neutral
"महिला दिवस पर ऐसे डेकोरेट करें रूम को, यहां से लीजिए आइडिया",lifestyle,"['महिला', 'दिवस', 'पर', 'ऐसे', 'डेकोरेट']",Neutral
"हाथ-पैरों पर दिखने लगे हैं ये लक्षण तो समझ जाइए बढ़ गया है गंदा कॉलेस्ट्रोल, इस तरह समय पर कर लें पहचान",lifestyle,"['पर', 'हाथ', 'पैरों', 'दिखने', 'लगे', 'हैं']",Neutral
"सफल लोग शाम के वक्त करते हैं ये काम, तभी सफलता चूमती है उनके कदम, आज से आप भी कीजिए फॉलो",lifestyle,"['सफल', 'लोग', 'शाम', 'के']",Neutral
"कपड़े धोने के लिए पाउडर या लिक्विड कौन सा डिटर्जेंट होता है बेस्ट, अगर इस तरह से करेंगे इस्तेमाल तो चमक जाएंगे कपड़े",lifestyle,"['कपड़े', 'धोने', 'के', 'लिए', 'पाउडर']",Neutral
"मखाना और मछली में पाए जाते हैं इतने पोषक तत्व, जानिए यहां",lifestyle,"['मखाना', 'और', 'मछली', 'में', 'पाए']",Neutral
"सोते समय क्या आप भी महसूस करते हैं यह लक्षण, 'स्लीप पैरालिसिस' के हो सकते हैं संकेत",lifestyle,"['हैं', 'सोते', 'समय', 'क्या']",Neutral
"होली पर घर जाने के लिए टिकट नहीं मिल रही कंफर्म तो अपनाएं ये टिप्स, आसानी से मिल जाएगी टिकट",lifestyle,"['टिकट', 'मिल', 'होली', 'पर', 'घर']",Neutral
"बच्चा पढ़ते समय कभी नहीं करेगा फिर आनाकानी, बस आज से 9-8-7 स्टडी मेथड अपनाइए, ये है बेस्ट तरीका",lifestyle,"['बच्चा', 'पढ़ते', 'समय', 'कभी']",Neutral
"BJP के पास बिहार के 'चिराग',  जेपी नड्डा से मुलाकात के बाद फाइनल हुई लोकसभा सीटों की डील",India,"['के', 'पास', 'बिहार']",Neutral
महाराष्ट्र में कांग्रेस को चुनाव से पहले एक और झटका? संजय निरुपम और अशोक चव्हाण की मुलाकात से लगीं अटकलें,India,"['से', 'और', 'महाराष्ट्र', 'में', 'कांग्रेस']",Neutral
"Azamgarh Lok Sabha Seat: यहां जिसे मिला 'M-Y' का साथ उसने चखा सत्ता का स्वाद, यादव vs यादव में इस बार कौन मारेगा बाजी?",India,"['का', 'यादव']",Neutral
बैंक अकाउंट्स पर IT एक्शन : HC से  मिली निराशा तो कांग्रेस को SC से राहत की उम्मीद,India,"['से', 'बैंक', 'अकाउंट्स', 'पर', 'एक्शन']",Neutral
महाविकास अघाड़ी के लिए सिरदर्द बनी बिना सांसद-विधायक वाली पार्टी...,India,"['महाविकास', 'अघाड़ी', 'के', 'लिए', 'सिरदर्द']",Neutral
"SC के कुक की बेटी को कानून की पढ़ाई के लिए US की दो यूनिवर्सिटी से मिली स्कॉलरशिप, CJI ने किया सम्मानित",India,"['की', 'के', 'कुक', 'बेटी']",Neutral
"समुद्र के रास्ते ड्रग्स भेज रहा पाकिस्तान, नाव में 480 करोड़ की ड्रग्स ला रहे थे 6 तस्कर, अरब सागर में दबोचे गए",India,"['ड्रग्स', 'में', 'समुद्र', 'के']",Neutral
"दिल्ली : लोकसभा चुनाव से पहले AAP और कांग्रेस को झटका, बलराम तंवर और एनडी शर्मा BJP में शामिल",India,"['और', 'दिल्ली', 'लोकसभा', 'चुनाव']",Neutral
"""वो जो चाहे कर सकता है..."" ममता बनर्जी ने इस वजह से अपने भाई बाबुन से सभी रिश्ते किए खत्म",India,"['से', 'वो', 'जो', 'चाहे']",Neutral
"""सवाल ये नहीं...."": कांग्रेस की एक और लिस्ट में नाम नहीं होने पर सचिन पायलट का जवाब",India,"['नहीं', 'सवाल', 'ये']",Neutral
"पटना सिविल कोर्ट के ट्रांसफार्मर में हुआ ब्लास्ट, एक वकील की मौत, दो झुलसे",India,"['पटना', 'सिविल', 'कोर्ट', 'के']",Neutral
हरियाणा विधानसभा में नायब सैनी सरकार ने जीता विश्वासमत,India,"['हरियाणा', 'विधानसभा', 'में', 'नायब', 'सैनी']",Neutral
कैसे हैं आप दाजी साहब!-  जब भारत जोड़ो यात्रा के दौरान राहुल गांधी ने पूछा वरिष्ठ नेता का हाल,India,"['कैसे', 'हैं', 'आप', 'दाजी', 'साहब']",Neutral
"चुनाव से पहले कांग्रेस की ""नारी न्याय"" गारंटी, गरीब महिलाओं को 1 लाख रुपए देने का ऐलान",India,"['चुनाव', 'से', 'पहले', 'कांग्रेस', 'की']",Neutral
"PM मोदी ने तीन सेमीकंडक्टर संयंत्रों की आधारशिला रखी, कहा भारत अपने वादों को पूरा करता है",India,"['मोदी', 'ने', 'तीन', 'सेमीकंडक्टर']",Neutral
"2019 से अब तक खरीदे गए 22,217 चुनावी बॉन्ड, 22,030 भुनाए गए : SC में SBI का हलफ़नामा",India,"['गए', 'से', 'अब', 'तक']",Neutral
"CAA पर झूठ की राजनीति बंद करे विपक्ष, किसी की नौकरी पर खतरा नहीं : रविशंकर प्रसाद",India,"['पर', 'की', 'झूठ', 'राजनीति']",Neutral
"""वर्क फ्रॉम होम न करें, घर जाएं"" : पानी की किल्लत से जूझ रहे बेंगलुरु का दर्द",India,"['वर्क', 'फ्रॉम', 'होम', 'न']",Neutral
CEC और चुनाव आयुक्तों की नियुक्ति से जुड़ी अर्ज़ी पर जल्द सुनवाई को तैयार सुप्रीम कोर्ट,India,"['और', 'चुनाव', 'आयुक्तों', 'की']",Neutral
नायब सरकार के फ्लोर टेस्ट के बीच सबसे बड़ा सवाल नाराज जेजेपी विधायक क्या लेंगे फैसला,India,"['के', 'नायब', 'सरकार', 'फ्लोर', 'टेस्ट']",Neutral
"""पाकिस्तानियों को भारत में बसाना चाहते हैं, यह वोट बैंक की राजनीति..."" : CAA पर दिल्ली CM केजरीवाल",India,"['पाकिस्तानियों', 'को', 'भारत', 'में']",Neutral
"मुंबई के होटल में मिला अमेरिकी नागरिक का शव, मामले की जांच में जुटी पुलिस",India,"['में', 'मुंबई', 'के', 'होटल', 'मिला']",Neutral
"मथुरा शाही ईदगाह मामला: श्रीकृष्ण जन्मभूमि के पक्षकार को मिली पाकिस्तान से धमकी, जांच शुरू",India,"['मथुरा', 'शाही', 'ईदगाह', 'मामला']",Neutral
Video : मथुरा में दुकानदार ने उधार के पैसे मांगे वापस तो युवक ने की तोड़फोड़,India,"['ने', 'मथुरा', 'में']",Neutral
राजस्थान पुलिस सब-इंस्पेक्टर परीक्षा मामला : SOG ने एक आरोपी भरतपुर से किया गिरफ्तार,India,"['राजस्थान', 'पुलिस', 'सब', 'इंस्पेक्टर', 'परीक्षा', 'मामला']",Neutral
"दिल्ली में कैंसर की नकली दवा बनाने वाले अंतरराष्ट्रीय गिरोह का भंडाफोड़, 7 गिरफ्तार",India,"['दिल्ली', 'में', 'कैंसर', 'की', 'नकली']",Neutral
"ग्रेटर नोएडा की मार्केट के ढाबों में लगी भीषण आग, आसमान में छाया काला धुआं",India,"['में', 'ग्रेटर', 'नोएडा', 'की', 'मार्केट']",Neutral
"""बीजेपी के ऑफर को किया नजरअंदाज तो..."" : ED के छापे पर झारखंड कांग्रेस विधायक",India,"['के', 'बीजेपी', 'ऑफर', 'को']",Neutral
"महाराष्ट्र में  सहयोगी दल के साथ बीजेपी का गतिरोध टूटा, NCP इन 4 सीटों से लड़ेगी चुनाव",India,"['महाराष्ट्र', 'में', 'सहयोगी', 'दल', 'के']",Neutral
"हरियाणा में नायब सैनी सरकार की 'अग्नि परीक्षा' आज, पेश किया विश्वासमत",India,"['हरियाणा', 'में', 'नायब', 'सैनी', 'सरकार']",Neutral
"""PM मोदी का फैसला सही है"": विरोध के बीच स्मृति ईरानी ने किया CAA का बचाव",India,"['का', 'मोदी', 'फैसला']",Neutral
"मणिपुर हिंसा में खोया आशियाना, फिर भी नहीं हारी हिम्मत; अब राहत शिविर में सम्मान से कमा रहीं 'रोटी'",India,"['में', 'मणिपुर', 'हिंसा', 'खोया']",Neutral
"UP : दूल्हे को अपनी कार की छत पर चढ़कर वीडियो शूट कराना पड़ा भारी, पुलिस ने दर्ज किया मामला",India,"['दूल्हे', 'को', 'अपनी', 'कार']",Neutral
"महाराष्ट्र में महायुति के बीच सीट शेयरिंग फॉर्मूला फाइनल, शरद पवार के गढ़ बारामती में भाभी-ननद का मुकाबला",India,"['में', 'के', 'महाराष्ट्र', 'महायुति', 'बीच']",Neutral
